Show_ID,Type,Title,Director,Cast,Country,Date_Added,Release_Year,Rating,Duration,Genre,Description
s1013,Movie,Netflix Title 14,Unknown,"Actor A, Actor B",Canada,2022-12-23,2009,TV-PG,3 Seasons,Comedy,This is a Netflix show focused on entertainment and storytelling.
s1014,TV Show,Netflix Title 15,,"Actor C, Actor D",United Kingdom,2020-12-26,2017,PG,120 min,Action,This is a Netflix show focused on entertainment and storytelling.
s1015,Movie,Netflix Title 16,Anurag Kashyap,"Actor A, Actor B",Canada,2017-09-22,2008,TV-PG,90 min,Drama,This is a Netflix show focused on entertainment and storytelling.
s1016,TV Show,Netflix Title 17,Anurag Kashyap,"Actor E, Actor F",United Kingdom,2021-10-18,2017,TV-PG,2 Seasons,Drama,This is a Netflix show focused on entertainment and storytelling.
s1017,TV Show,Netflix Title 18,Anurag Kashyap,"Actor E, Actor F",,2021-12-31,2013,TV-PG,120 min,Action,This is a Netflix show focused on entertainment and storytelling.
s1018,TV Show,Netflix Title 19,Karan Johar,Not Available,Canada,2021-05-09,2016,TV-PG,90 min,Documentary,This is a Netflix show focused on entertainment and storytelling.
s1019,Movie,Netflix Title 20,Unknown,"Actor A, Actor B",United Kingdom,2023-09-06,2023,TV-PG,1 Season,Documentary,This is a Netflix show focused on entertainment and storytelling.
s1020,TV Show,Netflix Title 21,Unknown,"Actor C, Actor D",United Kingdom,2020-11-21,2018,TV-MA,120 min,Thriller,This is a Netflix show focused on entertainment and storytelling.
s1021,Movie,Netflix Title 22,Raj Kumar,Not Available,United States,2018-05-22,2014,G,3 Seasons,Romance,This is a Netflix show focused on entertainment and storytelling.
s1022,TV Show,Netflix Title 23,,Not Available,Japan,2019-11-20,2023,G,3 Seasons,Documentary,This is a Netflix show focused on entertainment and storytelling.
s1023,TV Show,Netflix Title 24,Anurag Kashyap,Not Available,Japan,2022-09-10,2018,R,3 Seasons,Thriller,This is a Netflix show focused on entertainment and storytelling.
s1024,TV Show,Netflix Title 25,Raj Kumar,"Actor C, Actor D",South Korea,2022-10-05,2012,PG,2 Seasons,Documentary,This is a Netflix show focused on entertainment and storytelling.
s1025,TV Show,Netflix Title 26,Karan Johar,Not Available,South Korea,2015-06-14,2004,PG-13,120 min,Comedy,This is a Netflix show focused on entertainment and storytelling.
s1026,TV Show,Netflix Title 27,Unknown,,United States,2017-09-25,2003,TV-MA,1 Season,Horror,This is a Netflix show focused on entertainment and storytelling.
s1027,TV Show,Netflix Title 28,Anurag Kashyap,Not Available,South Korea,2022-01-11,2019,PG,120 min,Romance,This is a Netflix show focused on entertainment and storytelling.
s1028,TV Show,Netflix Title 29,Raj Kumar,"Actor C, Actor D",,2018-07-31,2002,TV-MA,2 Seasons,Thriller,This is a Netflix show focused on entertainment and storytelling.
s1029,TV Show,Netflix Title 30,Karan Johar,"Actor E, Actor F",India,2022-01-08,2020,G,90 min,Horror,This is a Netflix show focused on entertainment and storytelling.
s1030,Movie,Netflix Title 31,Karan Johar,"Actor E, Actor F",India,2016-10-18,2024,TV-PG,2 Seasons,Horror,This is a Netflix show focused on entertainment and storytelling.
s1031,Movie,Netflix Title 32,Raj Kumar,"Actor E, Actor F",India,2022-04-14,2023,R,3 Seasons,Documentary,This is a Netflix show focused on entertainment and storytelling.
s1032,TV Show,Netflix Title 33,Unknown,"Actor E, Actor F",United States,2021-01-20,2004,R,90 min,Action,This is a Netflix show focused on entertainment and storytelling.
s1033,TV Show,Netflix Title 34,Raj Kumar,"Actor E, Actor F",,2020-03-24,2011,TV-14,3 Seasons,Comedy,This is a Netflix show focused on entertainment and storytelling.
s1034,TV Show,Netflix Title 35,Anurag Kashyap,Not Available,United Kingdom,2020-08-08,1996,PG-13,100 min,Comedy,This is a Netflix show focused on entertainment and storytelling.
s1035,Movie,Netflix Title 36,Raj Kumar,Not Available,India,2020-10-12,2000,R,2 Seasons,Comedy,This is a Netflix show focused on entertainment and storytelling.
s1036,TV Show,Netflix Title 37,Karan Johar,Not Available,Canada,2023-08-29,2020,TV-PG,2 Seasons,Romance,This is a Netflix show focused on entertainment and storytelling.
s1037,Movie,Netflix Title 38,Raj Kumar,"Actor C, Actor D",South Korea,2018-02-14,1999,G,1 Season,Drama,This is a Netflix show focused on entertainment and storytelling.
s1038,Movie,Netflix Title 39,Unknown,"Actor C, Actor D",Canada,2020-03-04,2022,PG-13,120 min,Romance,This is a Netflix show focused on entertainment and storytelling.
s1039,Movie,Netflix Title 40,Christopher Nolan,"Actor C, Actor D",South Korea,2015-09-24,2024,PG,90 min,Thriller,This is a Netflix show focused on entertainment and storytelling.
s1040,Movie,Netflix Title 41,Raj Kumar,"Actor C, Actor D",India,2020-01-20,2003,TV-PG,90 min,Horror,This is a Netflix show focused on entertainment and storytelling.
s1041,Movie,Netflix Title 42,Unknown,"Actor E, Actor F",India,2019-09-05,1999,TV-PG,1 Season,Horror,This is a Netflix show focused on entertainment and storytelling.
s1042,TV Show,Netflix Title 43,Unknown,"Actor E, Actor F",India,2024-12-09,2012,R,1 Season,Drama,This is a Netflix show focused on entertainment and storytelling.
s1043,TV Show,Netflix Title 44,Karan Johar,"Actor E, Actor F",United States,2023-10-17,2020,PG-13,120 min,Thriller,This is a Netflix show focused on entertainment and storytelling.
s1044,TV Show,Netflix Title 45,Unknown,"Actor A, Actor B",South Korea,2021-04-12,2014,G,3 Seasons,Drama,This is a Netflix show focused on entertainment and storytelling.
s1045,TV Show,Netflix Title 46,Unknown,Not Available,United States,2021-09-08,2003,TV-14,120 min,Horror,This is a Netflix show focused on entertainment and storytelling.
s1046,TV Show,Netflix Title 47,Unknown,"Actor C, Actor D",United States,2019-02-19,2011,TV-MA,2 Seasons,Documentary,This is a Netflix show focused on entertainment and storytelling.
s1047,Movie,Netflix Title 48,Unknown,"Actor C, Actor D",Japan,2016-04-20,2021,TV-MA,3 Seasons,Romance,This is a Netflix show focused on entertainment and storytelling.
s1048,TV Show,Netflix Title 49,Anurag Kashyap,"Actor E, Actor F",Canada,2024-10-28,2011,G,100 min,Comedy,This is a Netflix show focused on entertainment and storytelling.
s1049,TV Show,Netflix Title 50,Anurag Kashyap,"Actor C, Actor D",Canada,2017-09-03,2006,G,120 min,Horror,This is a Netflix show focused on entertainment and storytelling.
s1050,Movie,Netflix Title 51,Karan Johar,"Actor C, Actor D",United Kingdom,2018-04-22,2001,TV-MA,1 Season,Action,This is a Netflix show focused on entertainment and storytelling.
s1051,TV Show,Netflix Title 52,Raj Kumar,Not Available,United States,2017-11-09,2021,TV-14,3 Seasons,Comedy,This is a Netflix show focused on entertainment and storytelling.
s1052,Movie,Netflix Title 53,Unknown,"Actor E, Actor F",South Korea,2020-05-14,1997,PG-13,120 min,Horror,This is a Netflix show focused on entertainment and storytelling.
s1053,TV Show,Netflix Title 54,Raj Kumar,Not Available,Japan,2016-07-11,2004,TV-MA,90 min,Romance,This is a Netflix show focused on entertainment and storytelling.
s1054,Movie,Netflix Title 55,Raj Kumar,"Actor A, Actor B",Japan,2017-10-14,1996,G,100 min,Drama,This is a Netflix show focused on entertainment and storytelling.
s1055,TV Show,Netflix Title 56,Karan Johar,"Actor A, Actor B",Canada,2024-11-04,2019,R,2 Seasons,Documentary,This is a Netflix show focused on entertainment and storytelling.
s1056,TV Show,Netflix Title 57,Unknown,"Actor A, Actor B",United States,2019-05-25,1997,PG,90 min,Documentary,This is a Netflix show focused on entertainment and storytelling.
s1057,Movie,Netflix Title 58,Unknown,"Actor E, Actor F",United Kingdom,2024-11-09,2010,TV-14,90 min,Comedy,This is a Netflix show focused on entertainment and storytelling.
s1058,Movie,Netflix Title 59,Christopher Nolan,"Actor C, Actor D",United States,2017-06-01,1996,TV-PG,100 min,Romance,This is a Netflix show focused on entertainment and storytelling.
s1059,Movie,Netflix Title 60,Raj Kumar,"Actor E, Actor F",India,2021-01-03,2022,TV-14,2 Seasons,Documentary,This is a Netflix show focused on entertainment and storytelling.
s1060,Movie,Netflix Title 61,Raj Kumar,"Actor E, Actor F",United States,2016-10-27,2018,R,1 Season,Documentary,This is a Netflix show focused on entertainment and storytelling.
s1061,Movie,Netflix Title 62,Anurag Kashyap,"Actor C, Actor D",India,2024-03-29,2004,R,3 Seasons,Thriller,This is a Netflix show focused on entertainment and storytelling.
s1062,Movie,Netflix Title 63,Christopher Nolan,Not Available,India,2022-04-21,2000,TV-PG,2 Seasons,Action,This is a Netflix show focused on entertainment and storytelling.
s1063,Movie,Netflix Title 64,Anurag Kashyap,,United Kingdom,2019-11-07,2016,G,120 min,Comedy,This is a Netflix show focused on entertainment and storytelling.
s1064,Movie,Netflix Title 65,Anurag Kashyap,Not Available,South Korea,2022-11-07,2020,TV-MA,90 min,Drama,This is a Netflix show focused on entertainment and storytelling.
s1065,TV Show,Netflix Title 66,Anurag Kashyap,"Actor A, Actor B",Canada,2017-05-13,2005,PG-13,120 min,Documentary,This is a Netflix show focused on entertainment and storytelling.
s1066,TV Show,Netflix Title 67,Karan Johar,"Actor E, Actor F",United States,2016-08-04,2017,TV-14,1 Season,Thriller,This is a Netflix show focused on entertainment and storytelling.
s1067,Movie,Netflix Title 68,Karan Johar,"Actor A, Actor B",India,2023-05-29,2001,TV-PG,120 min,Romance,This is a Netflix show focused on entertainment and storytelling.
s1068,TV Show,Netflix Title 69,Anurag Kashyap,"Actor E, Actor F",United States,2016-11-25,2021,TV-14,2 Seasons,Documentary,This is a Netflix show focused on entertainment and storytelling.
s1069,TV Show,Netflix Title 70,Christopher Nolan,Not Available,South Korea,2018-06-05,2023,R,120 min,Action,This is a Netflix show focused on entertainment and storytelling.
s1070,TV Show,Netflix Title 71,Raj Kumar,"Actor E, Actor F",Canada,2023-09-09,2009,TV-MA,1 Season,Drama,This is a Netflix show focused on entertainment and storytelling.
s1071,TV Show,Netflix Title 72,Christopher Nolan,,South Korea,2019-05-30,2000,TV-14,1 Season,Romance,This is a Netflix show focused on entertainment and storytelling.
s1072,Movie,Netflix Title 73,Unknown,"Actor C, Actor D",Canada,2024-07-20,2014,PG-13,1 Season,Romance,This is a Netflix show focused on entertainment and storytelling.
s1073,TV Show,Netflix Title 74,Karan Johar,"Actor C, Actor D",Japan,2018-05-24,2021,R,2 Seasons,Comedy,This is a Netflix show focused on entertainment and storytelling.
s1074,Movie,Netflix Title 75,Raj Kumar,"Actor C, Actor D",Canada,2021-09-20,2003,PG-13,1 Season,Documentary,This is a Netflix show focused on entertainment and storytelling.
s1075,TV Show,Netflix Title 76,Raj Kumar,"Actor E, Actor F",United Kingdom,2016-02-03,2016,TV-MA,90 min,Comedy,This is a Netflix show focused on entertainment and storytelling.
s1076,TV Show,Netflix Title 77,Unknown,"Actor C, Actor D",South Korea,2020-04-30,2014,TV-14,1 Season,Drama,This is a Netflix show focused on entertainment and storytelling.
s1077,TV Show,Netflix Title 78,Unknown,"Actor A, Actor B",India,2016-12-15,2006,PG,120 min,Documentary,This is a Netflix show focused on entertainment and storytelling.
s1078,Movie,Netflix Title 79,Anurag Kashyap,Not Available,Japan,2016-12-04,2013,TV-14,3 Seasons,Horror,This is a Netflix show focused on entertainment and storytelling.
s1079,TV Show,Netflix Title 80,Karan Johar,Not Available,United Kingdom,2022-09-09,2014,TV-MA,120 min,Documentary,This is a Netflix show focused on entertainment and storytelling.
s1080,Movie,Netflix Title 81,Karan Johar,"Actor A, Actor B",United States,2021-12-21,1997,TV-14,3 Seasons,Horror,This is a Netflix show focused on entertainment and storytelling.
s1081,TV Show,Netflix Title 82,Christopher Nolan,"Actor E, Actor F",South Korea,2024-09-06,2009,TV-PG,120 min,Romance,This is a Netflix show focused on entertainment and storytelling.
s1082,Movie,Netflix Title 83,Anurag Kashyap,"Actor E, Actor F",India,2019-09-11,1996,TV-14,2 Seasons,Comedy,This is a Netflix show focused on entertainment and storytelling.
s1083,TV Show,Netflix Title 84,Anurag Kashyap,Not Available,Canada,2020-05-26,2024,G,120 min,Action,This is a Netflix show focused on entertainment and storytelling.
s1084,Movie,Netflix Title 85,Anurag Kashyap,"Actor C, Actor D",India,2023-04-10,2015,TV-14,2 Seasons,Documentary,This is a Netflix show focused on entertainment and storytelling.
s1085,Movie,Netflix Title 86,,"Actor E, Actor F",United States,2015-03-23,1996,TV-14,2 Seasons,Action,This is a Netflix show focused on entertainment and storytelling.
s1086,TV Show,Netflix Title 87,Karan Johar,"Actor E, Actor F",Japan,2016-08-26,2016,PG-13,1 Season,Documentary,This is a Netflix show focused on entertainment and storytelling.
s1087,Movie,Netflix Title 88,Karan Johar,"Actor A, Actor B",Japan,2020-05-24,1997,PG,90 min,Romance,This is a Netflix show focused on entertainment and storytelling.
s1088,TV Show,Netflix Title 89,Anurag Kashyap,"Actor A, Actor B",South Korea,2019-09-07,2000,PG-13,3 Seasons,Comedy,This is a Netflix show focused on entertainment and storytelling.
s1089,TV Show,Netflix Title 90,Christopher Nolan,"Actor C, Actor D",Japan,2020-08-08,2009,PG-13,1 Season,Drama,This is a Netflix show focused on entertainment and storytelling.
s1090,TV Show,Netflix Title 91,Raj Kumar,"Actor E, Actor F",South Korea,2022-09-20,2021,R,1 Season,Drama,This is a Netflix show focused on entertainment and storytelling.
s1091,TV Show,Netflix Title 92,Raj Kumar,"Actor E, Actor F",South Korea,2017-06-21,2004,G,2 Seasons,Drama,This is a Netflix show focused on entertainment and storytelling.
s1092,TV Show,Netflix Title 93,Christopher Nolan,"Actor A, Actor B",South Korea,2015-12-31,2003,PG-13,2 Seasons,Documentary,This is a Netflix show focused on entertainment and storytelling.
s1093,TV Show,Netflix Title 94,Anurag Kashyap,"Actor E, Actor F",Canada,2015-06-12,1995,TV-PG,3 Seasons,Documentary,This is a Netflix show focused on entertainment and storytelling.
s1094,TV Show,Netflix Title 95,Karan Johar,Not Available,United Kingdom,2023-07-17,2010,TV-MA,120 min,Action,This is a Netflix show focused on entertainment and storytelling.
s1095,TV Show,Netflix Title 96,Raj Kumar,"Actor A, Actor B",South Korea,2022-01-02,2000,TV-PG,120 min,Comedy,This is a Netflix show focused on entertainment and storytelling.
s1096,TV Show,Netflix Title 97,Unknown,"Actor C, Actor D",South Korea,2024-04-23,2003,TV-MA,1 Season,Documentary,This is a Netflix show focused on entertainment and storytelling.
s1097,TV Show,Netflix Title 98,Unknown,,United Kingdom,2020-02-07,2021,TV-14,100 min,Comedy,This is a Netflix show focused on entertainment and storytelling.
s1098,TV Show,Netflix Title 99,Christopher Nolan,"Actor E, Actor F",India,2015-04-26,1998,R,100 min,Action,This is a Netflix show focused on entertainment and storytelling.
s1099,Movie,Netflix Title 100,Anurag Kashyap,"Actor C, Actor D",South Korea,2023-03-08,2021,G,120 min,Documentary,This is a Netflix show focused on entertainment and storytelling.
s1100,Movie,Netflix Title 101,Raj Kumar,"Actor A, Actor B",Canada,2021-07-12,2022,TV-PG,100 min,Drama,This is a Netflix show focused on entertainment and storytelling.
s1101,TV Show,Netflix Title 102,Anurag Kashyap,Not Available,Japan,2017-05-30,1996,G,120 min,Drama,This is a Netflix show focused on entertainment and storytelling.
s1102,TV Show,Netflix Title 103,Raj Kumar,Not Available,Japan,2022-08-16,2023,TV-PG,2 Seasons,Romance,This is a Netflix show focused on entertainment and storytelling.
s1103,TV Show,Netflix Title 104,Christopher Nolan,"Actor A, Actor B",United States,2017-04-19,1998,TV-14,1 Season,Horror,This is a Netflix show focused on entertainment and storytelling.
s1104,TV Show,Netflix Title 105,Christopher Nolan,Not Available,United States,2021-01-03,1995,TV-MA,90 min,Thriller,This is a Netflix show focused on entertainment and storytelling.
s1105,TV Show,Netflix Title 106,Unknown,Not Available,Japan,2024-12-25,2013,PG,1 Season,Horror,This is a Netflix show focused on entertainment and storytelling.
s1106,TV Show,Netflix Title 107,Anurag Kashyap,Not Available,Japan,2018-09-08,2020,R,120 min,Documentary,This is a Netflix show focused on entertainment and storytelling.
s1107,TV Show,Netflix Title 108,Unknown,"Actor C, Actor D",,2021-10-26,2019,TV-PG,120 min,Comedy,This is a Netflix show focused on entertainment and storytelling.
s1108,TV Show,Netflix Title 109,Anurag Kashyap,Not Available,United Kingdom,2022-11-24,2004,TV-PG,1 Season,Documentary,This is a Netflix show focused on entertainment and storytelling.
s1109,Movie,Netflix Title 110,Unknown,,United States,2017-11-02,2015,TV-14,3 Seasons,Comedy,This is a Netflix show focused on entertainment and storytelling.
s1110,TV Show,Netflix Title 111,Karan Johar,Not Available,United Kingdom,2017-07-31,2009,R,120 min,Comedy,This is a Netflix show focused on entertainment and storytelling.
s1111,Movie,Netflix Title 112,Karan Johar,"Actor C, Actor D",Canada,2024-10-05,2021,TV-MA,100 min,Horror,This is a Netflix show focused on entertainment and storytelling.
s1112,TV Show,Netflix Title 113,Karan Johar,"Actor A, Actor B",Japan,2019-09-21,2016,TV-MA,100 min,Thriller,This is a Netflix show focused on entertainment and storytelling.
s1113,TV Show,Netflix Title 114,Karan Johar,"Actor E, Actor F",South Korea,2021-05-23,2013,TV-PG,120 min,Romance,This is a Netflix show focused on entertainment and storytelling.
s1114,Movie,Netflix Title 115,Raj Kumar,Not Available,United Kingdom,2022-07-30,2010,PG,120 min,Horror,This is a Netflix show focused on entertainment and storytelling.
s1115,TV Show,Netflix Title 116,Karan Johar,"Actor A, Actor B",Japan,2018-02-11,2015,PG,3 Seasons,Thriller,This is a Netflix show focused on entertainment and storytelling.
s1116,Movie,Netflix Title 117,Christopher Nolan,Not Available,Japan,2021-12-02,2021,G,100 min,Drama,This is a Netflix show focused on entertainment and storytelling.
s1117,TV Show,Netflix Title 118,Christopher Nolan,"Actor C, Actor D",India,2015-01-22,2018,R,120 min,Drama,This is a Netflix show focused on entertainment and storytelling.
s1118,TV Show,Netflix Title 119,Raj Kumar,"Actor A, Actor B",United Kingdom,2024-05-13,2016,R,120 min,Comedy,This is a Netflix show focused on entertainment and storytelling.
s1119,Movie,Netflix Title 120,Karan Johar,"Actor C, Actor D",South Korea,2019-10-16,1998,TV-MA,3 Seasons,Action,This is a Netflix show focused on entertainment and storytelling.
s1120,TV Show,Netflix Title 121,Karan Johar,Not Available,United Kingdom,2016-11-13,1996,G,3 Seasons,Documentary,This is a Netflix show focused on entertainment and storytelling.
s1121,Movie,Netflix Title 122,Karan Johar,Not Available,Japan,2024-12-16,2024,TV-14,1 Season,Documentary,This is a Netflix show focused on entertainment and storytelling.
s1122,TV Show,Netflix Title 123,Unknown,"Actor C, Actor D",South Korea,2023-02-01,2019,R,3 Seasons,Comedy,This is a Netflix show focused on entertainment and storytelling.
s1123,Movie,Netflix Title 124,Anurag Kashyap,"Actor E, Actor F",Canada,2020-01-08,2007,G,90 min,Action,This is a Netflix show focused on entertainment and storytelling.
s1124,Movie,Netflix Title 125,Unknown,"Actor C, Actor D",India,2021-06-25,2022,G,100 min,Thriller,This is a Netflix show focused on entertainment and storytelling.
s1125,TV Show,Netflix Title 126,Anurag Kashyap,,Japan,2015-05-06,1995,TV-PG,1 Season,Drama,This is a Netflix show focused on entertainment and storytelling.
s1126,TV Show,Netflix Title 127,Karan Johar,"Actor C, Actor D",United States,2015-10-04,2011,TV-MA,90 min,Documentary,This is a Netflix show focused on entertainment and storytelling.
s1127,Movie,Netflix Title 128,Karan Johar,"Actor E, Actor F",United States,2020-06-22,2007,G,120 min,Horror,This is a Netflix show focused on entertainment and storytelling.
s1128,TV Show,Netflix Title 129,Unknown,"Actor C, Actor D",India,2018-05-12,1998,PG,120 min,Action,This is a Netflix show focused on entertainment and storytelling.
s1129,TV Show,Netflix Title 130,Unknown,"Actor E, Actor F",Canada,2021-02-19,2001,PG,1 Season,Thriller,This is a Netflix show focused on entertainment and storytelling.
s1130,TV Show,Netflix Title 131,Anurag Kashyap,"Actor E, Actor F",Japan,2024-11-27,2011,PG-13,3 Seasons,Drama,This is a Netflix show focused on entertainment and storytelling.
s1131,Movie,Netflix Title 132,Christopher Nolan,"Actor C, Actor D",United Kingdom,2016-11-26,2003,TV-MA,120 min,Horror,This is a Netflix show focused on entertainment and storytelling.
s1132,Movie,Netflix Title 133,Anurag Kashyap,"Actor C, Actor D",India,2018-08-02,1998,TV-PG,2 Seasons,Action,This is a Netflix show focused on entertainment and storytelling.
s1133,Movie,Netflix Title 134,Unknown,"Actor A, Actor B",Canada,2015-02-26,2013,TV-14,1 Season,Comedy,This is a Netflix show focused on entertainment and storytelling.
s1134,Movie,Netflix Title 135,Unknown,Not Available,United Kingdom,2024-03-28,1995,PG-13,90 min,Comedy,This is a Netflix show focused on entertainment and storytelling.
s1135,Movie,Netflix Title 136,,"Actor E, Actor F",United States,2023-11-09,2004,PG,1 Season,Comedy,This is a Netflix show focused on entertainment and storytelling.
s1136,Movie,Netflix Title 137,Unknown,"Actor A, Actor B",United States,2015-01-19,1998,TV-PG,100 min,Documentary,This is a Netflix show focused on entertainment and storytelling.
s1137,Movie,Netflix Title 138,Raj Kumar,"Actor C, Actor D",United Kingdom,2024-06-03,2003,PG-13,3 Seasons,Thriller,This is a Netflix show focused on entertainment and storytelling.
s1138,Movie,Netflix Title 139,Christopher Nolan,Not Available,India,2021-04-30,2007,TV-MA,3 Seasons,Comedy,This is a Netflix show focused on entertainment and storytelling.
s1139,Movie,Netflix Title 140,Anurag Kashyap,"Actor A, Actor B",United States,2022-10-12,2008,TV-PG,1 Season,Documentary,This is a Netflix show focused on entertainment and storytelling.
s1140,TV Show,Netflix Title 141,Anurag Kashyap,"Actor E, Actor F",Japan,2015-04-23,2004,TV-MA,120 min,Romance,This is a Netflix show focused on entertainment and storytelling.
s1141,Movie,Netflix Title 142,Raj Kumar,"Actor A, Actor B",South Korea,2024-09-29,2000,G,120 min,Documentary,This is a Netflix show focused on entertainment and storytelling.
s1142,TV Show,Netflix Title 143,Anurag Kashyap,"Actor E, Actor F",United Kingdom,2024-04-21,2010,R,2 Seasons,Drama,This is a Netflix show focused on entertainment and storytelling.
s1143,TV Show,Netflix Title 144,Unknown,"Actor C, Actor D",United Kingdom,2016-06-25,2000,G,2 Seasons,Documentary,This is a Netflix show focused on entertainment and storytelling.
s1144,TV Show,Netflix Title 145,,Not Available,United States,2022-05-18,2011,TV-MA,3 Seasons,Thriller,This is a Netflix show focused on entertainment and storytelling.
s1145,Movie,Netflix Title 146,Raj Kumar,Not Available,India,2016-08-01,2004,TV-PG,2 Seasons,Horror,This is a Netflix show focused on entertainment and storytelling.
s1146,Movie,Netflix Title 147,Anurag Kashyap,Not Available,Japan,2017-12-24,2012,PG,90 min,Documentary,This is a Netflix show focused on entertainment and storytelling.
s1147,Movie,Netflix Title 148,Raj Kumar,"Actor C, Actor D",India,2024-03-17,2021,TV-14,2 Seasons,Comedy,This is a Netflix show focused on entertainment and storytelling.
s1148,Movie,Netflix Title 149,Raj Kumar,"Actor E, Actor F",Canada,2015-01-25,2016,PG,90 min,Drama,This is a Netflix show focused on entertainment and storytelling.
s1149,TV Show,Netflix Title 150,Karan Johar,"Actor C, Actor D",Canada,2019-04-22,2012,TV-PG,2 Seasons,Action,This is a Netflix show focused on entertainment and storytelling.
s1150,Movie,Netflix Title 151,Unknown,Not Available,South Korea,2020-08-10,1997,G,3 Seasons,Comedy,This is a Netflix show focused on entertainment and storytelling.
s1151,Movie,Netflix Title 152,Raj Kumar,"Actor C, Actor D",United States,2023-02-06,2014,TV-14,3 Seasons,Drama,This is a Netflix show focused on entertainment and storytelling.
s1152,Movie,Netflix Title 153,Anurag Kashyap,"Actor C, Actor D",United States,2019-04-22,2021,TV-PG,90 min,Romance,This is a Netflix show focused on entertainment and storytelling.
s1153,Movie,Netflix Title 154,Christopher Nolan,"Actor C, Actor D",United States,2015-05-21,2015,TV-MA,1 Season,Action,This is a Netflix show focused on entertainment and storytelling.
s1154,Movie,Netflix Title 155,Raj Kumar,"Actor E, Actor F",South Korea,2019-11-03,2019,PG,3 Seasons,Romance,This is a Netflix show focused on entertainment and storytelling.
s1155,TV Show,Netflix Title 156,Raj Kumar,"Actor A, Actor B",Canada,2016-10-09,2022,TV-MA,1 Season,Horror,This is a Netflix show focused on entertainment and storytelling.
s1156,Movie,Netflix Title 157,Karan Johar,"Actor A, Actor B",India,2021-02-13,2009,TV-14,120 min,Drama,This is a Netflix show focused on entertainment and storytelling.
s1157,TV Show,Netflix Title 158,Unknown,"Actor C, Actor D",South Korea,2023-10-05,2009,TV-14,90 min,Romance,This is a Netflix show focused on entertainment and storytelling.
s1158,Movie,Netflix Title 159,Christopher Nolan,"Actor A, Actor B",South Korea,2015-07-20,1998,PG,3 Seasons,Horror,This is a Netflix show focused on entertainment and storytelling.
s1159,TV Show,Netflix Title 160,,"Actor A, Actor B",India,2023-10-04,2023,TV-MA,100 min,Drama,This is a Netflix show focused on entertainment and storytelling.
s1160,Movie,Netflix Title 161,Christopher Nolan,"Actor C, Actor D",United States,2015-09-14,2021,PG-13,120 min,Drama,This is a Netflix show focused on entertainment and storytelling.
s1161,Movie,Netflix Title 162,Anurag Kashyap,"Actor C, Actor D",Japan,2016-06-30,2003,TV-MA,1 Season,Romance,This is a Netflix show focused on entertainment and storytelling.
s1162,TV Show,Netflix Title 163,Unknown,Not Available,India,2021-02-19,2021,TV-14,3 Seasons,Drama,This is a Netflix show focused on entertainment and storytelling.
s1163,TV Show,Netflix Title 164,Anurag Kashyap,"Actor A, Actor B",Canada,2022-07-13,2020,TV-MA,90 min,Comedy,This is a Netflix show focused on entertainment and storytelling.
s1164,TV Show,Netflix Title 165,Karan Johar,"Actor E, Actor F",United Kingdom,2023-09-11,2013,TV-PG,2 Seasons,Drama,This is a Netflix show focused on entertainment and storytelling.
